Name,Rating,Review,Date
Vaulie,8,"Great addictive fun, and a timely palette cleanser amongst all the other battle royales. Mediatonic have a slam dunk on their hands, now the question is can they keep it fresh and interesting moving into the future.","Aug 15, 2020"
TheRealGhost_,10,One of the better games you can use your time on if you just want a break from fps games and other hardcore rpg's and just relax with either your friends or just you know you could vibe,"Aug 18, 2020"
benster16,8,"Colourful, addictive, and a lot of fun as a lighthearted game. A few bugs and lagging issues, but once these are fixed and they add in more mini games it’ll become awesome","Aug 13, 2020"
Itrainedyahyard,10,It’s just too fun and it has such great gameplay with a bunch of fun activities to do. Also follow their twitter it is very well implemented in the meme community.,"Aug 14, 2020"
MooTheCow,0,"SCAM GAME! BUYER BEWARE! This WAS a good game until today. Today, the game COMPLETELY stopped working, because the developer intentionally broke it. They made it so I need an Epic account to play the game, even though this wasn't the case when I bought the game a month ago, and wasn't the case just yesterday. The game isn't even available to buy on Epic store. They did this because EpicSCAM GAME! BUYER BEWARE! This WAS a good game until today. Today, the game COMPLETELY stopped working, because the developer intentionally broke it. They made it so I need an Epic account to play the game, even though this wasn't the case when I bought the game a month ago, and wasn't the case just yesterday. The game isn't even available to buy on Epic store. They did this because Epic bought their company, and Epic wants to get your steam data to compete better. Refund escalated to Paypal because Valve denied it.… Expand","Nov 30, 2021"
ashes4,1,"I buyed this game for $19 year ago on steam. we played for 2 year with a bad netcode that make some party game not really playable (the tail one for exemple). Devs fail to fix the name so we not had our name in game, they never be able to fix it so they use egs login... i don't accepted this when i buyed the game. Then cheaters appears, and again they fail to make they own anticheat, soI buyed this game for $19 year ago on steam. we played for 2 year with a bad netcode that make some party game not really playable (the tail one for exemple). Devs fail to fix the name so we not had our name in game, they never be able to fix it so they use egs login... i don't accepted this when i buyed the game. Then cheaters appears, and again they fail to make they own anticheat, so they use epic game one. and now the game is removed on steam and be exclusive to the bad epic game store. that a no for me… Expand","Jun 23, 2022"
Redman233,0,F you Epic you destroy my favorite game AGAIN!!!!! Anthem battlefield and FALL GUYS!!!,"Nov 22, 2021"
Mightylolcat,0,"Bought the game(for full price btw), played 4 hours and was like i will play this later more and then comes the news it goes F2P and people who BOUGHT the game got only stupid skins instead of something of real value. Also needs Epic account, when i bought the game that was not needed to play. Valve declined the refund.","Jun 21, 2022"
B-Bog,5,"It is fun, however you are paying 20 bucks for what's essentially a Freemium game. The concept is very funny but I feel like it has so much unused potential. For example, there's a remarkable lack of variety when it comes to stages and music. I've played the game for about an hour now and stuff just keeps on repeating endlessly.  I also think that the game would be more fun if you couldIt is fun, however you are paying 20 bucks for what's essentially a Freemium game. The concept is very funny but I feel like it has so much unused potential. For example, there's a remarkable lack of variety when it comes to stages and music. I've played the game for about an hour now and stuff just keeps on repeating endlessly.  I also think that the game would be more fun if you could actually hit each other, or maybe use Mario Kart-like items on each other. Just more ways to actually interact besides just falling onto and grabbing each other. On the plus side, I had absolutely no problems with the matchmaking, though the game was a little laggy sometimes. I actually got a refund for this on Steam. As I said, the game is fun, but, from what is on offer here and how it incorporates microtransactions for cosmetics, it should be free-to-play.… Expand","Aug 19, 2020"
draco199,10,"This review contains spoilers, click expand to view.
        
The game is like Wipeout but if you were playing as a small litlle marshmallow dude. This game is made to be easy to play, and hard to master (looking at you, See Saw) the servers can be a bit weird but just return to the main menu/confirm and you'll be good.… Expand","Aug  6, 2020"
